subject;order;condition;start_stop;stance_side;step;normalized_time;last_step;period;IPSI_HEEL;CONTRA_HEEL;TIME;step_length
S6;1;bpp;start;left;1;1;58;begin start;-0,56855;-0,04384;0,95;0,52471
S6;1;bpp;start;left;2;1;58;begin start;-0,58834;0,00718;2,16;0,59552
S6;1;bpp;start;left;3;1;58;begin start;-0,63916;-0,10811;3,29;0,53105
S6;1;bpp;start;left;4;1;58;begin start;-0,69460;-0,10660;4,46;0,58800
S6;1;bpp;start;left;5;1;58;begin start;-0,66326;-0,12859;5,65;0,53467
S6;1;bpp;start;left;20;1;58;Late Baseline;-0,59970;-0,03558;23,04;0,56412
S6;1;bpp;start;left;21;1;58;Late Baseline;-0,63013;-0,08647;24,19;0,54366
S6;1;bpp;start;left;22;1;58;Late Baseline;-0,59150;-0,06647;25,35;0,52503
S6;1;bpp;start;left;23;1;58;Late Baseline;-0,64145;-0,07687;26,50;0,56458
S6;1;bpp;start;left;24;1;58;Late Baseline;-0,58334;-0,03765;27,67;0,54569
S6;1;bpp;start;left;27;1;58;Early Adapt;-0,33358;-0,11394;30,77;0,21964
S6;1;bpp;start;left;28;1;58;Early Adapt;-0,36414;-0,01006;31,63;0,35408
S6;1;bpp;start;left;29;1;58;Early Adapt;-0,51953;0,10450;32,53;0,62403
S6;1;bpp;start;left;30;1;58;Early Adapt;-0,54046;0,09186;33,45;0,63232
S6;1;bpp;start;left;31;1;58;Early Adapt;-0,57786;0,07461;34,37;0,65247
S6;1;bpp;start;left;53;1;58;end start;-0,61641;-0,00103;55,04;0,61538
S6;1;bpp;start;left;54;1;58;end start;-0,62514;0,09309;56,05;0,71823
S6;1;bpp;start;left;55;1;58;end start;-0,62861;-0,01682;56,91;0,61179
S6;1;bpp;start;left;56;1;58;end start;-0,68252;-0,08851;57,83;0,59401
S6;1;bpp;start;left;57;1;58;end start;-0,60748;0,00299;58,80;0,61047
S6;1;bpp;start;left;58;1;58;end start;-0,58893;-0,00627;59,72;0,58266
S6;1;bpp;stop;left;1;1;61;begin stop;-0,52055;0,08523;0,15;0,60578
S6;1;bpp;stop;left;2;1;61;begin stop;-0,52089;0,09487;1,14;0,61576
S6;1;bpp;stop;left;3;1;61;begin stop;-0,55413;0,10025;2,13;0,65438
S6;1;bpp;stop;left;4;1;61;begin stop;-0,52351;0,07817;3,11;0,60168
S6;1;bpp;stop;left;5;1;61;begin stop;-0,53870;0,10751;4,13;0,64621
S6;1;bpp;stop;left;28;1;61;Late Adapt;-0,65415;-0,00443;26,72;0,64972
S6;1;bpp;stop;left;29;1;61;Late Adapt;-0,68454;-0,01996;27,69;0,66458
S6;1;bpp;stop;left;30;1;61;Late Adapt;-0,64492;-0,02701;28,69;0,61791
S6;1;bpp;stop;left;31;1;61;Late Adapt;-0,57731;0,06808;29,70;0,64539
S6;1;bpp;stop;left;32;1;61;Late Adapt;-0,55114;0,05926;30,67;0,61040
S6;1;bpp;stop;left;35;1;61;Early Post Adapt;-0,67197;-0,17611;33,67;0,49586
S6;1;bpp;stop;left;36;1;61;Early Post Adapt;-0,74865;-0,29669;34,57;0,45196
S6;1;bpp;stop;left;37;1;61;Early Post Adapt;-0,73441;-0,27416;35,56;0,46025
S6;1;bpp;stop;left;38;1;61;Early Post Adapt;-0,74093;-0,22088;36,70;0,52005
S6;1;bpp;stop;left;39;1;61;Early Post Adapt;-0,74370;-0,34874;37,63;0,39496
