subject;order;condition;start_stop;stance_side;step;normalized_time;last_step;period;IPSI_HEEL;CONTRA_HEEL;TIME;step_length
S16;1;bpp;start;left;1;1;58;begin start;-0,21237;0,33536;0,55;0,54773
S16;1;bpp;start;left;2;1;58;begin start;-0,22657;0,33878;1,74;0,56535
S16;1;bpp;start;left;3;1;58;begin start;-0,19823;0,30750;2,88;0,50573
S16;1;bpp;start;left;4;1;58;begin start;-0,16683;0,38573;4,09;0,55256
S16;1;bpp;start;left;5;1;58;begin start;-0,17358;0,36316;5,26;0,53674
S16;1;bpp;start;left;21;1;58;Late Baseline;-0,12950;0,42815;24,31;0,55765
S16;1;bpp;start;left;22;1;58;Late Baseline;-0,10369;0,47899;25,54;0,58268
S16;1;bpp;start;left;23;1;58;Late Baseline;-0,13836;0,41198;26,69;0,55034
S16;1;bpp;start;left;24;1;58;Late Baseline;-0,14684;0,42597;27,89;0,57281
S16;1;bpp;start;left;25;1;58;Late Baseline;-0,13842;0,42276;29,09;0,56118
S16;1;bpp;start;left;28;1;58;Early Adapt;-0,11199;0,41337;32,15;0,52536
S16;1;bpp;start;left;29;1;58;Early Adapt;-0,11486;0,37348;33,03;0,48834
S16;1;bpp;start;left;30;1;58;Early Adapt;-0,13353;0,41372;33,95;0,54725
S16;1;bpp;start;left;31;1;58;Early Adapt;-0,19467;0,45292;34,89;0,64759
S16;1;bpp;start;left;32;1;58;Early Adapt;-0,19425;0,46372;35,85;0,65797
S16;1;bpp;start;left;53;1;58;end start;-0,21506;0,31055;55,94;0,52561
S16;1;bpp;start;left;54;1;58;end start;-0,20152;0,34068;56,88;0,54220
S16;1;bpp;start;left;55;1;58;end start;-0,23019;0,33251;57,83;0,56270
S16;1;bpp;start;left;56;1;58;end start;-0,21769;0,35187;58,77;0,56956
S16;1;bpp;start;left;57;1;58;end start;-0,21470;0,37233;59,71;0,58703
S16;1;bpp;start;left;58;1;58;end start;-0,19569;0,38687;60,66;0,58256
S16;1;bpp;stop;left;1;1;60;begin stop;-0,24855;0,43924;0,30;0,68779
S16;1;bpp;stop;left;2;1;60;begin stop;-0,22457;0,42580;1,32;0,65037
S16;1;bpp;stop;left;3;1;60;begin stop;-0,20102;0,47150;2,36;0,67252
S16;1;bpp;stop;left;4;1;60;begin stop;-0,25998;0,36359;3,32;0,62357
S16;1;bpp;stop;left;5;1;60;begin stop;-0,21498;0,34324;4,29;0,55822
S16;1;bpp;stop;left;26;1;60;Late Adapt;-0,10745;0,55098;25,11;0,65843
